Agency / Banca,ASM Emp Code,ASM Name,City,Date of Birth,Date of Joning,Designation,Emp Code,Employee Status,Function,Last Working Date,Name,RHR,RSM Emp Code,RSM Name,RTM,State,Zone
Agency,1, Aaron,All,,2014-04-19 00:00:00,VP - Agency,2,Active,Sales,, Abby,Jassi,1, Aaron,Jones,All,All
Agency,4, Adam,All,,2010-07-01 00:00:00,RSM - Agency,4,Active,Sales,, Adam,Ankit,2, Abby,Priya,All,North
Agency,5, Adrian,All,,2017-10-26 00:00:00,RSM - Agency,5,Active,Sales,, Adrian,Nikhil,2, Abby,Naveen,All,East
Agency,6, Aiden,All,,2006-10-18 00:00:00,RSM - Banca,6,Active,Sales,, Aiden,Raswinder,2, Abby,Sahil,All,West
Agency,7, Alan,All,,2014-04-21 00:00:00,RSM - Banca,7,Active,Sales,, Alan,Joseph,2, Abby,Varsha,All,South
Agency,12, Alice,All,,2013-07-21 00:00:00,ASM - Agency,12,Active,Sales,, Alice,Ankit,4, Adam,Priya,Punjab,North 1
Agency,12, Alice,Amritsar,,2013-06-03 00:00:00,SM - Agency,52,Active,Sales,, Carrie,Ankit,4, Adam,Priya,Punjab,North 1
Agency,12, Alice,Bathinda,,2016-06-21 00:00:00,SM - Agency,56,Active,Sales,, Charlotte,Ankit,4, Adam,Priya,Punjab,North 1
Agency,12, Alice,Jalandhar,,2012-06-02 00:00:00,SM - Agency,265,Exited,Sales,2024-01-06 00:00:00, Melissa,Ankit,4, Adam,Priya,Punjab,North 1
Agency,12, Alice,Jalandhar,,2021-04-24 00:00:00,SM - Agency,54,Active,Sales,, Charles,Ankit,4, Adam,Priya,Punjab,North 1
Agency,12, Alice,Ludhiana,,2010-06-16 00:00:00,SM - Agency,53,Active,Sales,, Catherine,Ankit,4, Adam,Priya,Punjab,North 1
Agency,12, Alice,Ludhiana,,2022-06-29 00:00:00,SM - Agency,264,Exited,Sales,2024-03-15 00:00:00, Melanie,Ankit,4, Adam,Priya,Punjab,North 1
Agency,12, Alice,Mohali,,2010-03-16 00:00:00,SM - Agency,57,Active,Sales,, Cheryl,Ankit,4, Adam,Priya,Punjab,North 1
Agency,12, Alice,Patiala,,2015-01-26 00:00:00,SM - Agency,55,Active,Sales,, Charlie,Ankit,4, Adam,Priya,Punjab,North 1
Agency,13, Alicia,All,,2006-10-01 00:00:00,ASM - Agency,13,Active,Sales,, Alicia,Ankit,4, Adam,Priya,Haryana,North 2
Agency,13, Alicia,Ambala,,2006-06-30 00:00:00,SM - Agency,267,Exited,Sales,2024-05-05 00:00:00, Michelle,Ankit,4, Adam,Priya,Haryana,North 2
Agency,13, Alicia,Ambala,,2012-12-27 00:00:00,SM - Agency,61,Active,Sales,, Christina,Ankit,4, Adam,Priya,Haryana,North 2
Agency,13, Alicia,Faridabad,,2016-11-03 00:00:00,SM - Agency,59,Active,Sales,, Chris,Ankit,4, Adam,Priya,Haryana,North 2
Agency,13, Alicia,Gurgaon,,2019-02-06 00:00:00,SM - Agency,58,Active,Sales,, Chloe,Ankit,4, Adam,Priya,Haryana,North 2
Agency,13, Alicia,Panipat,,2009-07-19 00:00:00,SM - Agency,266,Exited,Sales,2024-03-23 00:00:00, Michael,Ankit,4, Adam,Priya,Haryana,North 2
Agency,13, Alicia,Panipat,,2022-07-20 00:00:00,SM - Agency,60,Active,Sales,, Christian,Ankit,4, Adam,Priya,Haryana,North 2
Agency,14, Alison,Delhi,,2006-03-12 00:00:00,ASM - Agency,256,Exited,Sales,2024-01-04 00:00:00, Martin,Ankit,4, Adam,Priya,Delhi,North 3
Agency,14, Alison,Delhi,,2011-05-02 00:00:00,ASM - Agency,14,Active,Sales,, Alison,Ankit,4, Adam,Priya,Delhi,North 3
Agency,14, Alison,EastDelhi,,2015-03-29 00:00:00,SM - Agency,64,Active,Sales,, Claire,Ankit,4, Adam,Priya,Delhi,North 3
Agency,14, Alison,NewDelhi,,2009-12-02 00:00:00,SM - Agency,62,Active,Sales,, Christopher,Ankit,4, Adam,Priya,Delhi,North 3
Agency,14, Alison,SouthDelhi,,2023-12-24 00:00:00,SM - Agency,63,Active,Sales,, Cindy,Ankit,4, Adam,Priya,Delhi,North 3
Agency,15, Amanda,All,,2020-03-03 00:00:00,ASM - Agency,15,Active,Sales,, Amanda,Ankit,4, Adam,Priya,Bihar,North 5
Agency,15, Amanda,Gaya,,2012-05-11 00:00:00,SM - Agency,73,Active,Sales,, Connie,Ankit,4, Adam,Priya,Bihar,North 5
Agency,15, Amanda,Gaya,,2018-06-28 00:00:00,SM - Agency,271,Exited,Sales,2024-02-08 00:00:00, Mitchell,Ankit,4, Adam,Priya,Bihar,North 5
Agency,15, Amanda,Patna,,2016-04-17 00:00:00,SM - Agency,72,Active,Sales,, Colin,Ankit,4, Adam,Priya,Bihar,North 5
Agency,16, Amber,Agra,,2020-03-03 00:00:00,SM - Agency,68,Active,Sales,, Clayton,Ankit,4, Adam,Priya,UP,North 4
Agency,16, Amber,All,,2023-07-03 00:00:00,ASM - Agency,16,Active,Sales,, Amber,Ankit,4, Adam,Priya,UP,North 4
